S NO,NAME,Gender,LANGUAGE_10,ENGLISH_10,MATHS_10,SCIENCE_10,SOCIAL_STUDIES_10,LANGUAGE_12,ENGLISH_12,BUSINESS_MATHS_12,COMMERCE_12,ECONOMICS_12,ACCOUNTANCY_12,CertificationGained_MB,Olympiads Qualified,Technical Projects,STATUS,,,,,,,,,,,,STATUS_CB,STATUS_CA
226,"Chaffee, Mr. Herbert Fuller",Male,65,71,59,79,55,77,60,82,69,84,92,Commerce,4,5,,,,,,,,,,,,,,
227,"Dean, Mr. Bertram Frank",Male,79,99,76,68,75,53,44,47,50,54,56,Business Maths,4,8,,,,,,,,,,,,,,
228,"Coxon, Mr. Daniel",Male,68,53,97,85,25,96,77,79,56,99,74,Accountancy,2,7,,,,,,,,,,,,,,
229,"Shorney, Mr. Charles Joseph",Male,85,58,75,60,78,93,53,88,91,86,60,Commerce,3,5,,,,,,,,,,,,,,
230,"Goldschmidt, Mr. George B",Male,60,82,93,98,58,41,77,68,56,66,75,Accountancy,4,3,,,,,,,,,,,,,,
231,"Greenfield, Mr. William Bertram",Male,98,58,47,58,52,50,48,62,71,56,94,Economics,4,6,,,,,,,,,,,,,,
232,"Doling, Mrs. John T (Ada Julia Bone)",Female,58,95,56,87,61,46,88,58,52,94,77,English,1,0,,,,,,,,,,,,,,
233,"Kantor, Mr. Sinai",Male,87,51,96,66,87,45,69,56,80,66,87,Commerce,3,0,,,,,,,,,,,,,,
234,"Petranec, Miss. Matilda",Male,66,80,61,52,89,58,93,84,53,62,83,Business Maths,4,3,,,,,,,,,,,,,,
235,"Petroff, Mr. Pastcho (""Pentcho"")",Male,52,81,75,70,77,76,40,76,43,70,48,Commerce,0,3,,,,,,,,,,,,,,
236,"White, Mr. Richard Frasar",Male,70,73,49,77,89,60,82,58,53,82,55,Accountancy,3,4,,,,,,,,,,,,,,
237,"Johansson, Mr. Gustaf Joel",Male,77,59,42,62,58,43,72,45,83,70,89,Economics,3,6,,,,,,,,,,,,,,
238,"Gustafsson, Mr. Anders Vilhelm",Male,62,52,50,54,56,92,51,69,43,85,79,English,4,7,,,,,,,,,,,,,,
239,"Mionoff, Mr. Stoytcho",Male,54,80,68,51,75,93,44,83,81,85,70,Accountancy,4,2,,,,,,,,,,,,,,
240,"Salkjelsvik, Miss. Anna Kristine",Female,51,51,79,99,83,73,47,75,71,58,93,English,5,6,,,,,,,,,,,,,,
241,"Moss, Mr. Albert Johan",Male,99,64,78,84,69,42,70,55,52,75,57,Economics,6,4,,,,,,,,,,,,,,
242,"Rekic, Mr. Tido",Male,84,85,67,75,83,60,95,42,89,52,71,Accountancy,4,4,,,,,,,,,,,,,,
243,"Moran, Miss. Bertha",Female,75,72,88,78,64,74,65,92,97,65,54,Business Maths,1,7,,,,,,,,,,,,,,
244,"Porter, Mr. Walter Chamberlain",Male,78,66,48,51,92,82,95,71,62,75,71,Commerce,2,0,,,,,,,,,,,,,,
245,"Zabour, Miss. Hileni",Female,51,99,55,55,84,62,56,58,78,70,64,Accountancy,1,7,,,,,,,,,,,,,,
246,"Barton, Mr. David John",Male,55,60,98,79,78,45,41,89,71,93,94,Economics,3,1,,,,,,,,,,,,,,
247,"Jussila, Miss. Katriina",Female,79,51,77,91,96,50,84,52,94,81,87,English,5,0,,,,,,,,,,,,,,
248,"Attalah, Miss. Malake",Female,91,56,77,88,82,64,50,81,93,89,58,Accountancy,0,0,,,,,,,,,,,,,,
249,"Pekoniemi, Mr. Edvard",Male,88,68,98,63,75,66,49,61,83,87,50,English,6,2,,,,,,,,,,,,,,
250,"Connors, Mr. Patrick",Male,63,69,71,83,87,68,94,80,78,60,53,Economics,1,1,,,,,,,,,,,,,,
251,"Turpin, Mr. William John Robert",Male,83,91,62,87,100,56,91,44,79,87,61,Accountancy,1,7,,,,,,,,,,,,,,
252,"Baxter, Mr. Quigg Edmond",Male,87,77,63,72,69,47,70,78,91,58,95,Business Maths,6,2,,,,,,,,,,,,,,
253,"Andersson, Miss. Ellis Anna Maria",Female,72,80,64,65,71,79,53,46,67,80,96,Accountancy,2,4,,,,,,,,,,,,,,
254,"Hickman, Mr. Stanley George",Male,65,91,74,82,94,77,78,75,51,99,97,Business Maths,5,7,,,,,,,,,,,,,,
255,"Moore, Mr. Leonard Charles",Male,82,100,50,51,91,76,85,74,54,78,54,Accountancy,4,4,,,,,,,,,,,,,,
256,"Nasser, Mr. Nicholas",Male,51,80,92,89,92,80,49,48,69,95,52,Economics,0,3,,,,,,,,,,,,,,
257,"Webber, Miss. Susan",Female,89,70,48,53,61,74,91,76,75,54,55,English,4,2,,,,,,,,,,,,,,
258,"White, Mr. Percival Wayland",Male,53,77,92,87,97,53,42,87,50,93,78,Economics,6,5,,,,,,,,,,,,,,
259,"Nicola-Yarred, Master. Elias",Male,87,72,87,75,84,52,87,81,48,49,88,Accountancy,3,4,,,,,,,,,,,,,,
260,"McMahon, Mr. Martin",Male,75,56,98,74,74,79,48,69,51,86,88,Business Maths,3,3,,,,,,,,,,,,,,
261,"Madsen, Mr. Fridtjof Arne",Male,74,100,82,58,81,71,70,59,82,69,75,Accountancy,2,6,,,,,,,,,,,,,,
262,"Peter, Miss. Anna",Female,58,86,50,51,73,83,54,56,55,65,59,English,2,1,,,,,,,,,,,,,,
263,"Ekstrom, Mr. Johan",Male,51,57,56,70,99,85,81,94,48,64,71,Economics,1,5,,,,,,,,,,,,,,
264,"Drazenoic, Mr. Jozef",Male,70,59,46,59,71,45,54,51,88,58,96,Economics,5,3,,,,,,,,,,,,,,
265,"Coelho, Mr. Domingos Fernandeo",Male,59,65,60,71,96,93,65,74,43,52,72,Commerce,1,7,,,,,,,,,,,,,,
266,"Robins, Mrs. Alexander A (Grace Charity Laury)",Female,71,69,50,76,76,87,53,74,88,61,57,Business Maths,5,7,,,,,,,,,,,,,,
267,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Female,76,71,73,59,87,91,45,79,52,62,83,Economics,4,4,,,,,,,,,,,,,,
268,"Sobey, Mr. Samuel James Hayden",Male,59,52,55,42,61,59,94,91,62,79,50,Accountancy,5,4,,,,,,,,,,,,,,
269,"Richard, Mr. Emile",Male,42,68,81,57,70,51,73,90,48,71,82,English,5,7,,,,,,,,,,,,,,
270,"Newsom, Miss. Helen Monypeny",Female,57,81,62,88,74,43,74,67,69,62,50,Commerce,3,4,,,,,,,,,,,,,,
271,"Futrelle, Mr. Jacques Heath",Male,88,59,66,22,63,64,50,76,53,55,79,Business Maths,2,2,,,,,,,,,,,,,,
272,"Osen, Mr. Olaf Elon",Male,22,51,63,88,87,82,84,92,70,51,96,Accountancy,5,4,,,,,,,,,,,,,,
273,"Giglio, Mr. Victor",Male,88,59,74,73,85,76,81,54,95,63,74,Commerce,3,5,,,,,,,,,,,,,,
274,"Boulos, Mrs. Joseph (Sultana)",Female,73,51,41,68,72,52,46,44,95,93,57,Accountancy,0,3,,,,,,,,,,,,,,
275,"Nysten, Miss. Anna Sofia",Female,68,67,46,100,87,42,96,74,79,54,84,Economics,2,7,,,,,,,,,,,,,,
276,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",Female,100,97,70,62,86,76,59,43,74,56,78,English,0,1,,,,,,,,,,,,,,
277,"Burke, Mr. Jeremiah",Male,62,70,50,77,66,41,44,41,62,96,48,Commerce,2,0,,,,,,,,,,,,,,
278,"Andrew, Mr. Edgardo Samuel",Male,77,89,54,59,72,49,75,71,50,77,62,Business Maths,0,7,,,,,,,,,,,,,,
279,"Nicholls, Mr. Joseph Charles",Male,59,57,92,54,86,62,87,89,92,97,63,Commerce,1,3,,,,,,,,,,,,,,
280,"Andersson, Mr. August Edvard (""Wennerstrom"")",Male,54,87,70,62,83,78,48,94,61,73,50,Accountancy,3,2,,,,,,,,,,,,,,
281,"Ford, Miss. Robina Maggie ""Ruby""",Female,62,55,66,70,84,55,90,66,67,82,73,Economics,3,7,,,,,,,,,,,,,,
282,"Navratil, Mr. Michel (""Louis M Hoffman"")",Male,70,98,67,66,68,90,44,47,78,58,83,English,4,8,,,,,,,,,,,,,,
283,"Byles, Rev. Thomas Roussel Davids",Male,66,72,44,60,91,67,89,78,62,63,82,Accountancy,0,3,,,,,,,,,,,,,,
284,"Bateman, Rev. Robert James",Male,60,77,42,89,96,54,50,60,92,58,48,English,5,3,,,,,,,,,,,,,,
285,"Pears, Mrs. Thomas (Edith Wearne)",Female,61,91,48,79,73,79,94,80,48,52,71,Economics,6,2,,,,,,,,,,,,,,
286,"Meo, Mr. Alfonzo",Male,66,75,99,76,91,66,86,87,46,48,67,Accountancy,4,7,,,,,,,,,,,,,,
287,"van Billiard, Mr. Austin Blyler",Male,82,100,76,87,88,91,89,64,84,53,93,Business Maths,2,5,,,,,,,,,,,,,,
288,"Olsen, Mr. Ole Martin",Male,75,76,93,87,93,48,88,71,59,75,88,Commerce,2,4,,,,,,,,,,,,,,
289,"Williams, Mr. Charles Duane",Male,49,61,86,94,99,60,87,45,78,65,93,Accountancy,2,0,,,,,,,,,,,,,,
290,"Gilnagh, Miss. Katherine ""Katie""",Female,52,76,53,100,62,60,78,63,56,86,96,Economics,4,7,,,,,,,,,,,,,,
291,"Corn, Mr. Harry",Male,81,56,86,90,69,41,75,43,46,72,65,English,3,1,,,,,,,,,,,,,,
292,"Smiljanic, Mr. Mile",Male,96,79,43,77,91,66,92,59,77,60,49,Accountancy,6,7,,,,,,,,,,,,,,
293,"Sage, Master. Thomas Henry",Male,53,50,78,82,81,93,51,84,93,97,58,English,1,8,,,,,,,,,,,,,,
294,"Cribb, Mr. John Hatfield",Male,58,81,46,98,74,76,68,87,72,91,68,Economics,4,6,,,,,,,,,,,,,,
295,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Female,68,94,47,82,100,50,70,64,86,58,79,Accountancy,1,4,,,,,,,,,,,,,,
296,"Bengtsson, Mr. John Viktor",Male,67,90,99,76,81,84,50,45,87,91,92,Business Maths,6,2,,,,,,,,,,,,,,
297,"Calic, Mr. Jovo",Male,72,72,49,91,93,73,69,65,52,97,56,Accountancy,3,8,,,,,,,,,,,,,,
298,"Panula, Master. Eino Viljami",Male,94,88,100,70,81,96,52,65,45,48,68,Business Maths,6,4,,,,,,,,,,,,,,
299,"Goldsmith, Master. Frank John William ""Frankie""",Male,79,50,60,72,91,52,63,83,85,72,84,Accountancy,5,3,,,,,,,,,,,,,,
300,"Chibnall, Mrs. (Edith Martha Bowerman)",Female,63,58,92,71,78,46,80,46,49,76,55,Economics,6,2,,,,,,,,,,,,,,
301,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",Female,43,86,63,98,66,56,90,64,88,80,93,English,0,3,,,,,,,,,,,,,,
302,"Baumann, Mr. John D",Male,81,86,63,97,100,80,53,41,92,74,47,Economics,6,2,,,,,,,,,,,,,,
303,"Ling, Mr. Lee",Male,46,55,89,78,96,52,45,60,66,55,74,Accountancy,5,6,,,,,,,,,,,,,,
304,"Van der hoef, Mr. Wyckoff",Male,71,56,74,91,64,94,54,45,86,67,98,Business Maths,5,6,,,,,,,,,,,,,,
305,"Rice, Master. Arthur",Male,52,51,84,92,93,72,85,90,74,69,93,Accountancy,4,6,,,,,,,,,,,,,,
306,"Johnson, Miss. Eleanor Ileen",Male,97,56,46,75,85,41,51,91,64,95,82,English,0,8,,,,,,,,,,,,,,
307,"Sivola, Mr. Antti Wilhelm",Male,62,100,86,72,73,47,68,96,71,57,52,Economics,6,5,,,,,,,,,,,,,,
308,"Smith, Mr. James Clinch",Male,46,97,50,90,76,40,60,81,80,83,97,Economics,0,8,,,,,,,,,,,,,,
309,"Klasen, Mr. Klas Albin",Male,50,86,48,84,87,86,81,60,48,65,90,Commerce,6,6,,,,,,,,,,,,,,
310,"Lefebre, Master. Henry Forbes",Male,65,83,62,100,89,63,40,78,80,59,68,Business Maths,1,4,,,,,,,,,,,,,,
311,"Isham, Miss. Ann Elizabeth",Female,45,89,71,83,66,82,62,91,56,78,65,Economics,0,5,,,,,,,,,,,,,,
312,"Hale, Mr. Reginald",Male,65,52,63,88,64,84,69,62,49,77,98,Accountancy,0,3,,,,,,,,,,,,,,
313,"Leonard, Mr. Lionel",Male,80,69,59,98,67,82,43,96,88,90,65,English,6,3,,,,,,,,,,,,,,
314,"Sage, Miss. Constance Gladys",Female,62,91,60,83,67,47,64,82,62,50,92,Commerce,4,4,,,,,,,,,,,,,,
315,"Pernot, Mr. Rene",Male,48,90,71,86,92,60,97,85,91,49,89,Business Maths,6,4,,,,,,,,,,,,,,
316,"Asplund, Master. Clarence Gustaf Hugo",Male,77,75,92,75,93,81,92,48,97,84,83,Accountancy,4,4,,,,,,,,,,,,,,
317,"Becker, Master. Richard F",Male,66,84,79,96,80,54,97,85,93,82,68,Commerce,3,2,,,,,,,,,,,,,,
318,"Kink-Heilmann, Miss. Luise Gretchen",Female,76,98,89,84,74,47,44,69,46,73,68,Accountancy,3,1,,,,,,,,,,,,,,
319,"Rood, Mr. Hugh Roscoe",Male,62,81,43,99,82,59,81,70,64,67,62,Economics,6,2,,,,,,,,,,,,,,
320,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Female,77,72,99,88,84,70,76,81,74,99,70,English,5,3,,,,,,,,,,,,,,
321,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Male,69,78,89,91,80,68,43,63,54,86,90,Commerce,0,6,,,,,,,,,,,,,,
322,"Bourke, Mr. John",Male,61,52,92,100,67,89,47,73,53,67,48,Business Maths,2,4,,,,,,,,,,,,,,
323,"Turcin, Mr. Stjepan",Male,59,94,75,79,85,63,44,93,92,76,95,Commerce,1,2,,,,,,,,,,,,,,
324,"Pinsky, Mrs. (Rosa)",Female,55,86,51,93,83,56,65,76,60,60,80,Accountancy,5,2,,,,,,,,,,,,,,
325,"Carbines, Mr. William",Male,45,55,52,73,100,71,85,44,85,79,95,Economics,0,0,,,,,,,,,,,,,,
326,"Andersen-Jensen, Miss. Carla Christine Nielsine",Female,78,99,95,91,83,95,78,61,93,92,76,English,3,7,,,,,,,,,,,,,,
327,"Navratil, Master. Michel M",Male,67,68,55,76,82,71,97,65,70,65,77,Accountancy,2,1,,,,,,,,,,,,,,
328,"Brown, Mrs. James Joseph (Margaret Tobin)",Female,65,59,58,71,85,45,82,47,83,94,55,English,3,0,,,,,,,,,,,,,,
329,"Lurette, Miss. Elise",Female,69,95,95,99,92,74,84,70,50,55,59,Economics,2,1,,,,,,,,,,,,,,
330,"Mernagh, Mr. Robert",Male,57,84,50,94,68,76,73,44,62,47,51,Accountancy,1,0,,,,,,,,,,,,,,
331,"Olsen, Mr. Karl Siegwart Andreas",Male,59,73,65,96,73,65,51,59,50,58,52,Business Maths,6,5,,,,,,,,,,,,,,
332,"Madigan, Miss. Margaret ""Maggie""",Female,74,60,44,99,68,66,55,82,85,68,67,Commerce,4,6,,,,,,,,,,,,,,
333,"Yrois, Miss. Henriette (""Mrs Harbeck"")",Female,82,55,56,70,68,75,44,71,95,71,91,Accountancy,1,0,,,,,,,,,,,,,,
334,"Vande Walle, Mr. Nestor Cyriel",Male,81,85,77,98,80,61,74,81,89,97,98,Economics,1,1,,,,,,,,,,,,,,
335,"Sage, Mr. Frederick",Male,74,73,62,87,96,91,52,90,91,51,96,English,2,4,,,,,,,,,,,,,,
336,"Johanson, Mr. Jakob Alfred",Male,58,61,65,85,97,46,56,64,95,71,84,Accountancy,4,5,,,,,,,,,,,,,,
337,"Youseff, Mr. Gerious",Male,80,82,63,99,83,63,70,61,57,60,64,English,3,4,,,,,,,,,,,,,,
338,"Cohen, Mr. Gurshon ""Gus""",Male,35,64,81,96,61,61,79,43,96,74,72,Economics,2,2,,,,,,,,,,,,,,
339,"Strom, Miss. Telma Matilda",Female,42,79,48,85,93,74,40,54,44,75,89,Accountancy,2,7,,,,,,,,,,,,,,
340,"Backstrom, Mr. Karl Alfred",Male,60,84,48,90,80,72,67,50,51,63,54,Business Maths,4,1,,,,,,,,,,,,,,
341,"Albimona, Mr. Nassef Cassem",Male,87,67,56,95,98,64,72,44,94,60,68,Accountancy,0,4,,,,,,,,,,,,,,
342,"Carr, Miss. Helen ""Ellen""",Female,84,82,58,76,69,57,44,51,78,90,89,Business Maths,5,8,,,,,,,,,,,,,,
343,"Blank, Mr. Henry",Male,83,68,85,70,72,52,94,61,63,63,87,Accountancy,0,0,,,,,,,,,,,,,,
344,"Ali, Mr. Ahmed",Male,34,76,80,90,100,79,43,93,55,98,88,Economics,3,4,,,,,,,,,,,,,,
345,"Cameron, Miss. Clear Annie",Female,66,96,59,98,90,91,42,85,79,87,81,English,3,2,,,,,,,,,,,,,,
346,"Perkin, Mr. John Henry",Male,61,94,93,100,72,77,47,94,59,65,90,Economics,1,8,,,,,,,,,,,,,,
347,"Givard, Mr. Hans Kristensen",Male,56,80,62,85,79,50,47,95,67,88,94,Accountancy,1,4,,,,,,,,,,,,,,
348,"Kiernan, Mr. Philip",Male,87,76,99,95,73,48,89,83,75,66,57,Business Maths,0,7,,,,,,,,,,,,,,
349,"Newell, Miss. Madeleine",Female,55,89,79,90,75,71,45,78,94,85,57,Accountancy,5,3,,,,,,,,,,,,,,
350,"Honkanen, Miss. Eliina",Female,86,56,53,77,64,87,44,93,44,87,96,English,5,1,,,,,,,,,,,,,,
351,"Jacobsohn, Mr. Sidney Samuel",Male,52,51,67,91,90,53,66,60,45,97,50,Economics,4,0,,,,,,,,,,,,,,
352,"Bazzani, Miss. Albina",Female,45,73,66,85,98,85,53,52,76,50,49,Economics,1,0,,,,,,,,,,,,,,
353,"Harris, Mr. Walter",Male,72,82,53,80,88,94,50,41,90,85,78,Commerce,2,8,,,,,,,,,,,,,,
354,"Sunderland, Mr. Victor Francis",Male,57,53,42,74,80,94,82,66,95,72,79,Business Maths,3,5,,,,,,,,,,,,,,
355,"Bracken, Mr. James H",Male,68,69,89,80,95,77,76,75,49,58,84,Economics,2,3,,,,,,,,,,,,,,
356,"Green, Mr. George Henry",Male,88,53,76,96,84,83,90,52,90,68,93,Accountancy,5,6,,,,,,,,,,,,,,
357,"Nenkoff, Mr. Christo",Male,76,62,42,72,84,70,72,53,80,89,76,English,1,0,,,,,,,,,,,,,,
358,"Hoyt, Mr. Frederick Maxfield",Male,46,56,72,86,66,65,85,83,74,96,74,Commerce,6,5,,,,,,,,,,,,,,
359,"Berglund, Mr. Karl Ivar Sven",Male,67,67,45,82,77,76,87,49,81,86,67,Business Maths,4,1,,,,,,,,,,,,,,
360,"Mellors, Mr. William John",Male,92,81,74,77,73,69,91,88,49,75,49,Accountancy,6,0,,,,,,,,,,,,,,
361,"Lovell, Mr. John Hall (""Henry"")",Male,83,77,74,72,84,78,83,68,47,97,61,Commerce,4,4,,,,,,,,,,,,,,
362,"Fahlstrom, Mr. Arne Jonas",Male,80,72,75,86,62,80,45,51,57,90,85,Accountancy,3,5,,,,,,,,,,,,,,
363,"Lefebre, Miss. Mathilde",Male,63,95,99,87,99,90,87,73,85,67,66,Economics,1,1,,,,,,,,,,,,,,
364,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Female,64,70,63,85,82,97,67,46,44,79,48,English,5,8,,,,,,,,,,,,,,
365,"Larsson, Mr. Bengt Edvin",Male,54,56,56,99,99,64,55,92,85,74,55,Commerce,2,0,,,,,,,,,,,,,,
366,"Sjostedt, Mr. Ernst Adolf",Male,84,80,68,78,89,70,79,51,58,48,61,Business Maths,2,6,,,,,,,,,,,,,,
367,"Asplund, Miss. Lillian Gertrud",Female,73,58,60,81,79,70,57,50,57,85,82,Commerce,0,8,,,,,,,,,,,,,,
368,"Leyson, Mr. Robert William Norman",Male,80,66,80,80,88,97,83,65,58,86,81,Accountancy,6,2,,,,,,,,,,,,,,
369,"Harknett, Miss. Alice Phoebe",Female,56,96,91,75,92,45,62,41,81,49,47,Economics,3,8,,,,,,,,,,,,,,
370,"Hold, Mr. Stephen",Male,59,63,75,74,92,86,88,95,51,68,86,English,6,6,,,,,,,,,,,,,,
371,"Collyer, Miss. Marjorie ""Lottie""",Female,75,84,62,93,74,89,82,71,88,50,88,Accountancy,4,7,,,,,,,,,,,,,,
372,"Pengelly, Mr. Frederick William",Male,85,76,63,93,62,82,85,55,97,84,68,English,2,8,,,,,,,,,,,,,,
373,"Hunt, Mr. George Henry",Male,89,93,82,88,63,48,68,92,80,93,81,Economics,3,6,,,,,,,,,,,,,,
374,"Zabour, Miss. Thamine",Female,58,98,91,98,68,86,55,53,75,81,83,Accountancy,0,1,,,,,,,,,,,,,,
375,"Murphy, Miss. Katherine ""Kate""",Female,65,50,62,92,74,49,75,60,69,98,92,Business Maths,4,8,,,,,,,,,,,,,,
376,"Coleridge, Mr. Reginald Charles",Male,68,75,78,75,71,79,43,75,44,62,64,Commerce,2,2,,,,,,,,,,,,,,
377,"Maenpaa, Mr. Matti Alexanteri",Male,47,65,85,86,93,84,72,48,53,99,81,Accountancy,0,0,,,,,,,,,,,,,,
378,"Attalah, Mr. Sleiman",Male,71,86,42,90,91,76,82,95,46,50,74,Economics,1,5,,,,,,,,,,,,,,
379,"Minahan, Dr. William Edward",Male,60,76,87,71,99,78,67,41,77,69,68,English,0,4,,,,,,,,,,,,,,
380,"Lindahl, Miss. Agda Thorilda Viktoria",Female,80,91,73,95,67,53,46,62,67,50,80,Accountancy,4,3,,,,,,,,,,,,,,
381,"Hamalainen, Mrs. William (Anna)",Female,54,81,57,97,81,67,57,72,57,99,64,English,1,5,,,,,,,,,,,,,,
382,"Beckwith, Mr. Richard Leonard",Male,62,87,63,86,88,88,93,59,75,86,80,Economics,5,0,,,,,,,,,,,,,,
383,"Carter, Rev. Ernest Courtenay",Male,64,81,61,84,84,50,84,55,43,55,48,Accountancy,5,4,,,,,,,,,,,,,,
384,"Reed, Mr. James George",Male,78,79,45,91,76,86,57,58,84,85,49,Business Maths,1,5,,,,,,,,,,,,,,
385,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",Female,70,70,90,70,96,65,53,49,53,82,91,Accountancy,1,4,,,,,,,,,,,,,,
386,"Stead, Mr. William Thomas",Male,90,69,71,91,66,69,40,50,76,86,94,Business Maths,1,7,,,,,,,,,,,,,,
387,"Lobb, Mr. William Arthur",Male,51,56,79,82,94,87,42,89,67,60,50,Accountancy,4,6,,,,,,,,,,,,,,
388,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",Female,53,78,79,79,98,67,86,50,66,72,96,Economics,0,5,,,,,,,,,,,,,,
389,"Touma, Mrs. Darwis (Hanne Youssef Razi)",Female,82,99,62,71,93,70,94,53,49,49,94,English,0,6,,,,,,,,,,,,,,
390,"Thorne, Mrs. Gertrude Maybelle",Female,66,79,76,100,100,78,46,92,55,74,50,Economics,4,4,,,,,,,,,,,,,,
391,"Cherry, Miss. Gladys",Female,89,71,99,93,90,62,90,63,72,71,83,Accountancy,5,4,,,,,,,,,,,,,,
392,"Ward, Miss. Anna",Female,53,98,76,87,96,82,54,89,71,73,47,Business Maths,0,4,,,,,,,,,,,,,,
393,"Parrish, Mrs. (Lutie Davis)",Female,54,70,50,70,91,95,78,91,43,52,59,Accountancy,2,1,,,,,,,,,,,,,,
394,"Smith, Mr. Thomas",Male,81,76,64,88,85,57,54,88,46,88,91,English,5,3,,,,,,,,,,,,,,
395,"Asplund, Master. Edvin Rojj Felix",Male,68,88,44,78,70,59,53,80,70,92,60,Economics,6,1,,,,,,,,,,,,,,
396,"Taussig, Mr. Emil",Male,92,96,69,75,64,61,65,78,78,55,66,Economics,3,4,,,,,,,,,,,,,,
397,"Harrison, Mr. William",Male,72,97,74,83,78,95,86,90,55,73,61,Commerce,2,6,,,,,,,,,,,,,,
398,"Henry, Miss. Delia",Female,82,96,44,71,89,79,69,85,45,87,73,Business Maths,4,7,,,,,,,,,,,,,,
399,"Reeves, Mr. David",Male,68,62,42,81,60,85,54,54,89,92,92,Economics,2,7,,,,,,,,,,,,,,
400,"Panula, Mr. Ernesti Arvid",Male,49,52,67,92,88,75,54,60,50,76,81,Accountancy,0,7,,,,,,,,,,,,,,
401,"Persson, Mr. Ernst Ulrik",Male,86,68,85,92,67,87,97,76,65,76,76,English,5,3,,,,,,,,,,,,,,
402,"Graham, Mrs. William Thompson (Edith Junkins)",Female,85,78,72,98,99,43,76,87,79,85,67,Commerce,3,7,,,,,,,,,,,,,,
403,"Bissette, Miss. Amelia",Female,71,59,56,94,97,71,60,63,72,93,47,Business Maths,2,6,,,,,,,,,,,,,,
404,"Cairns, Mr. Alexander",Male,59,65,86,75,96,87,92,58,92,54,60,Accountancy,4,7,,,,,,,,,,,,,,
405,"Tornquist, Mr. William Henry",Male,83,74,41,77,60,87,65,42,72,81,54,Commerce,5,4,,,,,,,,,,,,,,
406,"Mellinger, Mrs. (Elizabeth Anne Maidment)",Female,46,82,50,94,68,50,95,63,51,78,48,Accountancy,5,2,,,,,,,,,,,,,,
407,"Natsch, Mr. Charles H",Male,77,57,60,78,77,49,90,54,69,56,60,Economics,5,8,,,,,,,,,,,,,,
408,"Healy, Miss. Hanora ""Nora""",Female,56,82,61,74,70,65,80,40,69,61,60,English,2,2,,,,,,,,,,,,,,
409,"Andrews, Miss. Kornelia Theodosia",Female,75,99,67,83,93,89,78,64,57,78,70,Commerce,1,1,,,,,,,,,,,,,,
410,"Lindblom, Miss. Augusta Charlotta",Female,59,86,56,88,92,92,50,70,61,77,66,Business Maths,1,1,,,,,,,,,,,,,,
411,"Parkes, Mr. Francis ""Frank""",Male,91,57,71,73,88,65,88,50,80,88,92,Commerce,0,3,,,,,,,,,,,,,,
412,"Rice, Master. Eric",Male,47,74,50,99,87,63,83,79,55,83,86,Accountancy,6,6,,,,,,,,,,,,,,
413,"Abbott, Mrs. Stanton (Rosa Hunt)",Female,49,68,88,73,67,41,51,76,70,49,69,Economics,5,0,,,,,,,,,,,,,,
414,"Duane, Mr. Frank",Male,59,95,54,92,81,40,94,66,62,93,96,English,4,6,,,,,,,,,,,,,,
415,"Olsson, Mr. Nils Johan Goransson",Male,78,52,60,89,84,82,72,64,69,67,88,Accountancy,3,2,,,,,,,,,,,,,,
416,"de Pelsmaeker, Mr. Alfons",Male,72,62,90,92,63,87,90,74,88,72,74,English,3,8,,,,,,,,,,,,,,
417,"Dorking, Mr. Edward Arthur",Male,53,73,77,95,87,95,61,72,73,62,60,Economics,0,3,,,,,,,,,,,,,,
418,"Smith, Mr. Richard William",Male,75,66,48,76,78,87,85,90,43,64,76,Accountancy,6,2,,,,,,,,,,,,,,
419,"Stankovic, Mr. Ivan",Male,64,93,71,70,91,72,65,80,71,73,65,Business Maths,1,1,,,,,,,,,,,,,,
420,"de Mulder, Mr. Theodore",Male,80,75,61,81,96,53,41,41,83,47,91,Commerce,0,3,,,,,,,,,,,,,,
421,"Naidenoff, Mr. Penko",Male,96,65,82,81,64,44,78,58,63,53,95,Accountancy,3,5,,,,,,,,,,,,,,
422,"Hosono, Mr. Masabumi",Male,53,63,72,99,87,89,73,65,59,86,81,Economics,4,2,,,,,,,,,,,,,,
423,"Connolly, Miss. Kate",Female,86,52,61,90,86,46,71,63,68,60,83,English,6,8,,,,,,,,,,,,,,
424,"Barber, Miss. Ellen ""Nellie""",Female,85,55,43,98,78,42,75,48,61,87,78,Accountancy,4,3,,,,,,,,,,,,,,
425,"Bishop, Mrs. Dickinson H (Helen Walton)",Female,71,97,52,90,100,92,92,46,80,82,83,English,3,0,,,,,,,,,,,,,,
426,"Levy, Mr. Rene Jacques",Male,49,86,95,99,100,79,40,53,82,87,94,Economics,0,7,,,,,,,,,,,,,,
427,"Haas, Miss. Aloisia",Female,67,79,88,79,75,48,80,46,96,81,99,Accountancy,6,6,,,,,,,,,,,,,,
